product_id,product_name,category,sub_category,brand,price,cost,weight_kg,rating,review_count,is_active,created_date
1,Automated tertiary database,Clothing,Accessories,"Snyder, Irwin and Potts",197.3,94.91,20.52,3.8,110,True,2022-03-14
2,Integrated disintermediate data-warehouse,Books,Non-Fiction,Boone LLC,68.15,35.62,22.24,3.5,91,True,2022-06-20
3,Programmable multi-state superstructure,Clothing,Shoes,Roberts-Banks,248.96,101.65,3.33,3.3,84,True,2022-06-04
4,Sharable leadingedge service-desk,Clothing,Men's Wear,"Williamson, Rodriguez and Murray",81.8,36.99,13.75,3.0,150,True,2022-08-28
5,Cross-platform methodical approach,Clothing,Kids' Clothing,Brown and Sons,81.59,43.37,8.62,3.4,57,True,2022-03-09
6,Fully-configurable interactive Graphic Interface,Beauty & Personal Care,Fragrance,Bryant-Bowen,108.85,38.91,6.7,5.0,87,True,2022-03-16
7,Synchronized methodical website,Books,Children's,Cox and Sons,68.23,40.67,0.21,3.3,100,True,2022-03-27
8,Fundamental bi-directional monitoring,Toys & Games,Dolls,Banks and Sons,139.31,72.78,2.16,3.7,38,True,2022-11-26
9,Diverse intangible benchmark,Home & Garden,Bedding,Stephens Inc,185.3,119.42,15.96,3.4,237,True,2022-05-28
10,Profit-focused tertiary attitude,Clothing,Shoes,"Cooper, Garcia and Campbell",138.52,72.39,23.53,3.4,85,True,2022-01-17
11,Horizontal motivating initiative,Clothing,Kids' Clothing,Richardson LLC,119.89,54.38,5.07,4.8,89,False,2022-11-16
12,Versatile analyzing open architecture,Beauty & Personal Care,Fragrance,Williams-Travis,23.58,7.23,12.04,2.8,197,True,2022-11-24
13,Reactive bifurcated neural-net,Home & Garden,Kitchen,Gonzalez and Sons,403.58,220.26,12.67,3.4,158,True,2022-10-22
14,Profound executive groupware,Beauty & Personal Care,Bath & Body,Sanchez-Pennington,88.88,25.57,8.68,2.4,0,True,2022-05-19
15,Face-to-face cohesive installation,Clothing,Shoes,Joseph-King,232.96,102.8,1.4,5.0,16,True,2022-08-11
16,Multi-layered web-enabled interface,Beauty & Personal Care,Skincare,"Ward, Fox and Oliver",108.2,46.46,16.13,3.0,127,True,2022-09-17
17,Reverse-engineered stable utilization,Electronics,Laptops,"Snyder, Anderson and Nichols",714.33,478.75,5.89,4.1,44,False,2022-02-12
18,Synergized mission-critical superstructure,Books,Non-Fiction,"Vasquez, Bailey and Howard",26.23,13.79,18.98,2.1,78,True,2022-05-06
19,Implemented object-oriented Internet solution,Books,Fiction,Rhodes-Christian,65.89,32.32,22.32,2.9,237,True,2022-01-25
20,Digitized interactive Internet solution,Electronics,Cameras,"Garcia, Fisher and Gonzalez",1133.32,814.69,10.81,2.7,63,True,2022-11-07
21,Re-contextualized web-enabled focus group,Home & Garden,Kitchen,"Mcgee, Martinez and Williams",655.79,334.33,12.78,3.3,58,True,2022-06-20
22,Multi-channeled tangible Local Area Network,Books,Fiction,"Higgins, Lynch and Davis",29.28,12.01,14.89,3.7,40,True,2022-03-13
23,Automated content-based Graphic Interface,Clothing,Accessories,"Rubio, Sutton and Smith",60.05,24.39,22.6,3.0,0,True,2022-06-05
24,Face-to-face object-oriented installation,Food & Gourmet,Pantry Staples,Simpson and Sons,9.03,5.43,19.84,3.5,329,True,2022-02-28
25,De-engineered transitional parallelism,Books,Children's,Rogers-Rodgers,33.8,19.41,9.74,4.2,89,True,2022-12-21
